tokenId,classification,match,max_channel_delta,num_diff_pixels,onchain_sha256,ipfs_sha256,onchain_ahash,ipfs_ahash,onchain_dhash,ipfs_dhash,onchain_phash,ipfs_phash,ahash_dist,dhash_dist,phash_dist,max_perceptual_dist,perceptual_match
18355,exact,True,0,0,173649c674d9bd2e3c220452bab9ad66c3f2f8d59fb0c08df068253dfeacc4ff,173649c674d9bd2e3c220452bab9ad66c3f2f8d59fb0c08df068253dfeacc4ff,ffffffefc3c3e7ef,ffffffefc3c3e7ef,0000042054202020,0000042054202020,b1cf922c33c79a2c,b1cf922c33c79a2c,0,0,0,0,True
18356,exact,True,0,0,315b1ea282a9dfa2b7819e3069fdee0dffb33798aefa66eb970cfc82db905cd2,315b1ea282a9dfa2b7819e3069fdee0dffb33798aefa66eb970cfc82db905cd2,ffc7838183c3e7ef,ffc7838183c3e7ef,002080a0c8602020,002080a0c8602020,b1ce936c9b86c92c,b1ce936c9b86c92c,0,0,0,0,True
18357,exact,True,0,0,2ff4281b70e405828124270e30f218dfe9c13e103ce20ae4b1e4f30823350b39,2ff4281b70e405828124270e30f218dfe9c13e103ce20ae4b1e4f30823350b39,ffffe7dbcbdbdbd7,ffffe7dbcbdbdbd7,0000204468444448,0000204468444448,bcc3c69d3861e625,bcc3c69d3861e625,0,0,0,0,True
18358,exact,True,0,0,a4a7a517bfaa53c322e75b9a827b91331240050e02959a6762f1fdcf766a1f8f,a4a7a517bfaa53c322e75b9a827b91331240050e02959a6762f1fdcf766a1f8f,ffc5839b9bfbf9ef,ffc5839b9bfbf9ef,0040808484404840,0040808484404840,ac2fd2c095cb9137,ac2fd2c095cb9137,0,0,0,0,True
18359,exact,True,0,0,1c64245560b292f76d73f5e1349fe0254ccdb8d339397fd0319e95a4dbe9c25e,1c64245560b292f76d73f5e1349fe0254ccdb8d339397fd0319e95a4dbe9c25e,ffffefe3c3c3c3cf,ffffefe3c3c3c3cf,0004022242424040,0004022242424040,b0cb9a6c316792b6,b0cb9a6c316792b6,0,0,0,0,True
18360,exact,True,0,0,3a77f5a69b971841f2cce012905b9e144a9cb8079e653de86c9af913a4d1c83c,3a77f5a69b971841f2cce012905b9e144a9cb8079e653de86c9af913a4d1c83c,ffffffffc3dbffff,ffffffffc3dbffff,0000022254222020,0000022254222020,e1cf9e6161869a69,e1cf9e6161869a69,0,0,0,0,True
18361,rounding,False,1,6,65a1b945541b0a4f388545ad593e7401baf95edca7ae76de23dcf1f01b4fb293,7b7fdde70d87428b72e4bc2317ef83d08e07dad5d57ad7c3d6534a9ed0f7a53c,ffffe7c3ebdbffff,ffffe7c3ebdbffff,0000202048202020,0000202048202020,b4c792cd3c613237,b4c792cd3c613237,0,0,0,0,True
18362,rounding,False,1,2,6a35319417ba5c33da83543dc2ca129817d65edb3e5bfc8055d45cebbc92de9c,a7b1863c383a0fb46fc2960d56a35fa209144f2499f5c98a7418dcc25e1adb67,ffffe7cbc3c3e7ef,ffffe7cbc3c3e7ef,0000202848202020,0000202848202020,b0ce936c39653336,b0ce936c39653336,0,0,0,0,True
18363,exact,True,0,0,c5282c39ff7b0b8d69c77c2ece9ec4d99a367a886db6e3ff500b94d3a865ce26,c5282c39ff7b0b8d69c77c2ece9ec4d99a367a886db6e3ff500b94d3a865ce26,ffffe7c3c7c3e7ef,ffffe7c3c7c3e7ef,0000202040202020,0000202040202020,b1ce934c3b6433c6,b1ce934c3b6433c6,0,0,0,0,True
18364,exact,True,0,0,1b03fc02dee9bf5eadf95b0da6bc70ecddfd9ca172bc6d41c5942cac98f941c0,1b03fc02dee9bf5eadf95b0da6bc70ecddfd9ca172bc6d41c5942cac98f941c0,00003c3c2c3c1810,00003c3c2c3c1810,0000042a2a220408,0000042a2a220408,c2c93ce7318e9669,c2c93ce7318e9669,0,0,0,0,True
18365,rounding,False,1,1,8e78a31ee4a603a7ae6dacda64e61e9a6720da3439a8ca47c887eae067e0443b,a5ca895c47ca7ab9a3f6772a3642617a52ba74a9b501f9cca3415620e9edeb50,ffc3ebc3c3c3c3cf,ffc3ebc3c3c3c3cf,0048484040404040,0048484040404040,b4cf93c693c4d90c,b4cf93c693c4d90c,0,0,0,0,True
18366,rounding,False,1,6,8a33e259117a41785be37300903f010b1a4cc0a669cb0f5b0f3f092c10c71a61,c6e0f3c9839e7a94802a37877b00794f6b43bf9ca745d9d079a9b36987beb49b,ffffe7c3c3c3e1ef,ffffe7c3c3c3e1ef,0000202848202820,0000202848202820,e087d2ccb5623697,e087d2ccb5623697,0,0,0,0,True
18367,exact,True,0,0,bbe43542bc0dea45e0a7eb2576140652c7f5cd798f7db685c71128a4f00f4163,bbe43542bc0dea45e0a7eb2576140652c7f5cd798f7db685c71128a4f00f4163,ffffe7c3cb9bdbff,ffffe7c3cb9bdbff,0000204048844420,0000204048844420,b9c6928df06536e2,b9c6928df06536e2,0,0,0,0,True
18368,rounding,False,1,6,c62784f31da6b64cb7e4c198eef6a1a431f31a0ace8b75951a84a8888625fd88,3eee4077a03a4a8678ac02c683819a0beb9bdd9174ff64478a789ad638caba09,ffffe7c3eb999bff,ffffe7c3eb999bff,0000204448848420,0000204448848420,ecc3964bc13cb265,ecc3964bc13cb265,0,0,0,0,True
18369,exact,True,0,0,6c6ec20b6735a353817ae7a9ee2f357a82c29a6f6013e1d5ffc292a10fb73f37,6c6ec20b6735a353817ae7a9ee2f357a82c29a6f6013e1d5ffc292a10fb73f37,f7e7fbfbfbfbfbef,f7e7fbfbfbfbfbef,0020544828444450,0020544828444450,ac7332ce19cc9ccc,ac7332ce19cc9ccc,0,0,0,0,True
18370,rounding,False,1,6,7604ef32191ad912ef17ddcb620d9dbea505ccdd2c12a37cd890cf987e2495a5,52c0d451407cb35d36561ae55d2f1ad642bcb8cb2e2ab56eaac652b46274aa40,ffffe7c3c3dbf9ff,ffffe7c3c3dbf9ff,0000202054202820,0000202054202820,e09792cc3569b636,e09792cc3569b636,0,0,0,0,True
18371,exact,True,0,0,00706efc53685a93fd159aaf357c6dea25e99947320f5e5226e726fe94162701,00706efc53685a93fd159aaf357c6dea25e99947320f5e5226e726fe94162701,ffc3ebfbfbfbf9e7,ffc3ebfbfbfbf9e7,0048484040404850,0048484040404850,ecb192ca974a939c,ecb192ca974a939c,0,0,0,0,True
18372,exact,True,0,0,57e51cf7aaeff1c67796704dd75caad52c9acd03f627d6f387c460cf9cc1934a,57e51cf7aaeff1c67796704dd75caad52c9acd03f627d6f387c460cf9cc1934a,ffffe7c3c3c3e7ef,ffffe7c3c3c3e7ef,0000202048202020,0000202048202020,b4cf928c996136b6,b4cf928c996136b6,0,0,0,0,True
18373,exact,True,0,0,036ebcd8beef15bd155e41281de689b4621132525bca77e53c2907407d0f118b,036ebcd8beef15bd155e41281de689b4621132525bca77e53c2907407d0f118b,ffffe7ffe7ffffef,ffffe7ffe7ffffef,0000282068444420,0000282068444420,b1cc9bcc33cc3166,b1cc9bcc33cc3166,0,0,0,0,True
18374,rounding,False,1,22,ab2004afc8a235582cfc631f1069c39bdc3f41da764f66ee32e5d11f9112d814,af44960874c2b47e9f994a8e9ee47edc46156f10af4ef4bd7030b370fcbc353a,ffefe3c3dbc3e1ef,ffefe3c3dbc3e1ef,004040444c442820,004040444c442820,e88fd2cc974a9c25,e887d2cc976a9c25,0,0,2,2,True
